product_code,default_unit_price
0000001,4000
0000002,4500
0000003,10000
0000004,9000
0000005,1250
0000006,1100
0000007,1400
0000008,3850
0000009,350
0000010,1000
0000011,2500
0000012,1800
0000013,4000
0000014,2100
0000015,1200
0000016,2100
0000017,500
0000018,3600
0000019,3600
0000020,1750
0000021,3000
0000022,1000
0000023,3000
0000024,3000
0000025,3000
0000026,3000
0000027,1500
0000028,3000
0000029,1200
0000030,1600
0000031,2500
0000032,2500
0000033,900
0000034,900
0000035,900
0000036,1400
0000037,1600
0000038,900
0000039,300
0000040,3000
0000041,850
0000042,600
0000043,2000
0000044,1400
0000045,2000
0000046,1200
0000047,1200
0000048,650
0000049,1450
0000050,3000
0000051,300
0000052,600
0000053,1200
0000054,1500
0000055,1500
0000056,800
0000057,900
0000058,800
0000059,1200
0000060,1800
0000061,3000
0000062,2750
0000063,2750
0000064,2750
0000065,2750
0000066,3000
0000067,3000
0000068,2500
0000069,2500
0000070,500
0000071,500
0000072,2500
0000073,2400
0000074,2500
0000075,1000
0000076,6400
0000077,4000
0000078,2000
0000079,2750
0000080,2750
0000081,2750
0000082,5000
0000083,500
0000084,2500
0000085,2500
0000086,5000
0000087,5000
0000088,2500
0000089,2500
0000090,5000
0000091,5000
0000092,5000
0000093,2500
0000094,3750
0000095,3750
0000096,1500
0000097,2000
0000098,1000
0000099,800
0000100,3200
0000101,3000
0000102,1000
0000103,2000
0000104,2000
0000105,2000
0000106,2000
0000107,2000
0000108,2000
0000109,1500
0000110,4000
0000111,4000
0000112,4000
0000113,4000
0000114,4000
0000115,1200
0000116,2500
0000117,2500
0000118,1700
0000119,3000
0000120,1000
0000121,1000
0000122,2250
0000123,3150
0000124,2700
0000125,4000
0000126,4000
0000127,2600
0000128,800
0000129,800
0000130,500
0000131,500
0000132,500
0000133,600
0000134,800
0000135,1750
0000136,2000
0000137,2000
0000138,1400
0000139,4000
0000140,4000
0000141,4000
0000142,5000
0000143,1100
0000144,1800
0000145,3000
0000146,3200
0000147,3200
0000148,3200
0000149,3000
0000150,9000
0000151,7800
0000152,1500
0000153,900
0000154,900
0000155,1050
0000156,1050
0000157,4000
0000158,1050
0000159,3000
0000160,1300
0000161,2500
0000162,5000
0000163,2500
0000164,1250
0000165,900
0000166,3000
0000167,2400
0000168,2500
0000169,7500
0000170,900
0000171,1000
0000172,1500
0000173,2600
0000174,2000
0000175,4000
0000176,1500
0000177,1600
0000178,1500
0000179,4000
0000180,2800
0000181,800
0000182,2500
0000183,2600
0000184,3000
0000185,1200
0000186,4000
0000187,1250
0000188,1200
0000189,1200
0000190,1400
0000191,5000
0000192,1200
0000193,1200
0000194,1250
0000195,1250
0000196,2500
0000197,550
0000198,4000
0000199,1200
0000200,600
0000201,4200
0000202,3000
0000203,4000
0000204,1600
0000205,4000
0000206,2400
0000207,2600
0000208,1200
0000209,2450
0000210,300
0000211,600
0000212,900
0000213,4000
0000214,1400
0000215,4800
0000216,4500
0000217,1500
0000218,4000
0000219,1050
0000220,2500
0000221,2500
0000222,4000
0000223,2500
0000224,2750
0000225,2750
0000226,4000
0000227,4000
0000228,2800
0000229,3000
0000230,9000
0000231,500
0000232,1200
0000233,3200
0000234,3600
0000235,1000
0000236,1000
0000237,500
0000238,2800
0000239,2800
0000240,2800
0000241,2500
0000242,1700
0000243,1500
0000244,350
0000245,600
0000246,1600
0000247,3000
0000248,500
0000249,1350
0000250,2500
0000251,2500
0000252,2500
0000253,2500
0000254,2250
0000255,2500
0000256,2500
0000257,3750
0000258,3750
0000259,3750
0000260,5000
0000261,5000
0000262,5000
0000263,5000
0000264,5000
0000265,5000
0000266,5000
0000267,5000
0000268,4000
0000269,2400
0000270,4000
0000271,4000
0000272,1250
0000273,1450
0000274,4000
0000275,1100
0000276,1500
0000277,1500
0000278,900
0000279,900
0000280,3000
0000281,1200
0000282,2100
0000283,5000
0000284,1200
0000285,1500
0000286,4000
0000287,2000
0000288,1200
0000289,1000
0000290,2050
0000291,3000
0000292,1500
0000293,3000
0000294,3000
0000295,5000
0000296,3000
0000297,1250
0000298,3100
0000299,3000
0000300,3000
0000301,3000
0000302,3000
0000303,550
0000304,800
0000305,1300
0000306,3000
0000307,3000
0000308,300
0000309,5050
0000310,8000
0000311,1000
0000312,3000
0000313,1500
0000314,2700
0000315,4000
0000316,1400
0000317,4000
0000318,2000
0000319,4000
0000320,3000
0000321,2000
0000322,3000
0000323,2400
0000324,3000
0000325,5000
0000326,3750
0000327,2500
0000328,2750
0000329,300
0000330,2500
0000331,2750
0000332,2400
0000333,1500
0000334,3350
0000335,2500
0000336,4000
0000337,2750
0000338,2400
0000339,900
0000340,3000
