customer_id,product_code,price_type,value
C001,0000058,coefficient,0.91
C001,0000013,coefficient,0.91
C001,0000380,absolute,550
C001,0000141,coefficient,0.86
C001,0000126,coefficient,0.88
C001,0000115,coefficient,0.9
C001,0000072,absolute,2200
C001,0000378,absolute,2450
C001,0000053,absolute,1150
C001,0000347,coefficient,0.9
C001,0000280,absolute,2550
C001,0000045,coefficient,0.94
C001,0000303,coefficient,0.92
C001,0000217,coefficient,0.87
C001,0000017,coefficient,0.88
C001,0000016,coefficient,0.96
C001,0000048,coefficient,0.96
C001,0000112,coefficient,0.93
C001,0000120,absolute,950
C001,0000259,absolute,3250
C001,0000309,absolute,4350
C001,0000014,coefficient,0.85
C001,0000288,absolute,1150
C001,0000102,absolute,850
C001,0000367,absolute,2650
C001,0000333,coefficient,0.94
C001,0000360,coefficient,0.91
C001,0000215,absolute,4100
C001,0000113,coefficient,0.95
C001,0000230,coefficient,0.88
C002,0000074,coefficient,0.95
C002,0000136,coefficient,0.97
C002,0000072,coefficient,0.99
C002,0000127,coefficient,0.98
C002,0000382,absolute,2000
C002,0000288,coefficient,0.88
C002,0000276,absolute,1350
C002,0000135,coefficient,0.94
C002,0000383,coefficient,0.85
C002,0000300,absolute,2750
C002,0000220,absolute,2250
C002,0000299,coefficient,0.88
C002,0000205,absolute,3450
C002,0000186,coefficient,0.91
C002,0000113,coefficient,0.9
C002,0000071,absolute,400
C002,0000261,absolute,4800
C002,0000253,coefficient,0.88
C002,0000047,coefficient,0.85
C002,0000387,absolute,1350
C002,0000025,coefficient,0.98
C002,0000057,coefficient,0.93
C002,0000079,absolute,2200
C002,0000322,coefficient,0.89
C003,0000282,coefficient,0.97
C003,0000085,coefficient,0.92
C003,0000136,coefficient,0.96
C003,0000271,coefficient,0.88
C003,0000311,absolute,850
C003,0000217,coefficient,0.95
C003,0000109,coefficient,0.89
C003,0000277,absolute,1450
C003,0000387,coefficient,0.91
C003,0000374,absolute,1050
C003,0000354,coefficient,0.98
C003,0000103,coefficient,0.99
C003,0000366,absolute,400
C003,0000160,absolute,1100
C003,0000205,coefficient,0.95
C003,0000344,absolute,2250
C003,0000333,coefficient,0.98
C003,0000192,coefficient,0.93
C003,0000225,coefficient,0.87
C003,0000265,coefficient,0.89
C003,0000232,coefficient,0.87
C003,0000062,absolute,2400
C003,0000127,absolute,2150
C003,0000116,absolute,2150
C003,0000033,coefficient,0.91
C004,0000031,absolute,2050
C004,0000085,coefficient,0.87
C004,0000195,coefficient,0.87
C004,0000002,coefficient,0.87
C004,0000200,coefficient,0.89
C004,0000136,coefficient,0.87
C004,0000402,absolute,1900
C004,0000233,absolute,3100
C004,0000147,coefficient,0.86
C004,0000217,coefficient,0.95
C004,0000357,coefficient,0.94
C004,0000375,coefficient,0.95
C004,0000285,coefficient,0.93
C004,0000339,coefficient,0.96
C004,0000368,coefficient,0.87
C004,0000250,absolute,2000
C004,0000080,absolute,2700
C004,0000098,coefficient,1.0
C004,0000152,coefficient,0.89
C004,0000112,coefficient,0.87
C004,0000030,coefficient,0.94
C004,0000297,coefficient,1.0
C005,0000314,absolute,2450
C005,0000414,coefficient,0.96
C005,0000335,coefficient,1.0
C005,0000271,absolute,3450
C005,0000005,coefficient,0.98
C005,0000342,coefficient,0.85
C005,0000419,absolute,7100
C005,0000284,coefficient,0.93
C005,0000154,coefficient,0.98
C005,0000340,coefficient,0.87
C005,0000054,absolute,1250
C005,0000069,coefficient,0.9
C005,0000136,coefficient,0.89
C005,0000060,coefficient,0.94
C005,0000055,absolute,1300
C005,0000381,absolute,650
C005,0000080,coefficient,0.92
C005,0000140,coefficient,0.92
C005,0000145,absolute,2900
C006,0000384,absolute,900
C006,0000080,absolute,2350
C006,0000122,coefficient,0.95
C006,0000084,coefficient,0.93
C006,0000410,coefficient,0.92
C006,0000416,coefficient,1.0
C006,0000091,absolute,4300
C006,0000212,coefficient,0.86
C006,0000013,absolute,3600
C006,0000092,coefficient,0.85
C006,0000378,coefficient,0.97
C006,0000171,coefficient,0.91
C006,0000401,coefficient,0.85
C006,0000211,coefficient,0.88
C006,0000411,coefficient,0.86
C006,0000343,coefficient,0.99
C006,0000377,absolute,3700
C006,0000128,absolute,700
C006,0000137,coefficient,0.98
C006,0000082,absolute,4150
C006,0000404,absolute,1150
C006,0000360,coefficient,0.88
C006,0000056,coefficient,0.95
C006,0000196,coefficient,0.94
C006,0000020,coefficient,0.91
C006,0000241,absolute,2400
C006,0000114,absolute,3500
C006,0000103,coefficient,0.97
C006,0000419,absolute,6900
C007,0000221,absolute,2300
C007,0000403,absolute,2850
C007,0000297,coefficient,0.86
C007,0000311,coefficient,0.94
C007,0000336,absolute,3450
C007,0000165,coefficient,0.85
C007,0000239,absolute,2500
C007,0000227,coefficient,0.88
C007,0000346,coefficient,0.93
C007,0000110,coefficient,0.97
C007,0000262,coefficient,0.94
C007,0000243,absolute,1300
C007,0000407,absolute,1100
C007,0000408,coefficient,0.91
C007,0000377,absolute,3950
C007,0000087,coefficient,0.87
C008,0000234,absolute,3600
C008,0000069,absolute,2450
C008,0000411,absolute,1350
C008,0000238,coefficient,0.93
C008,0000342,coefficient,0.96
C008,0000272,absolute,1250
C008,0000287,absolute,1800
C008,0000305,coefficient,0.94
C008,0000163,coefficient,0.95
C008,0000387,coefficient,0.89
C008,0000227,coefficient,0.94
C008,0000314,absolute,2250
C008,0000418,coefficient,1.0
C009,0000032,absolute,2100
C009,0000106,coefficient,0.93
C009,0000427,coefficient,0.97
C009,0000216,absolute,3950
C009,0000200,absolute,500
C009,0000395,absolute,400
C009,0000300,coefficient,0.88
C009,0000357,coefficient,0.95
C009,0000011,coefficient,0.98
C009,0000392,absolute,800
C009,0000295,coefficient,0.95
C009,0000195,coefficient,0.95
C009,0000245,absolute,550
C009,0000004,absolute,8700
C009,0000181,absolute,800
C009,0000153,absolute,750
C009,0000386,absolute,1350
C009,0000428,coefficient,0.86
C009,0000215,coefficient,0.86
C009,0000276,coefficient,0.9
C009,0000383,absolute,1050
C009,0000377,coefficient,0.88
C009,0000280,absolute,2950
C010,0000393,absolute,1700
C010,0000189,coefficient,0.9
C010,0000086,coefficient,0.94
C010,0000311,coefficient,0.94
C010,0000383,absolute,1050
C010,0000368,coefficient,0.86
C010,0000059,coefficient,0.95
C010,0000399,coefficient,0.96
C010,0000420,coefficient,0.98
C010,0000084,coefficient,0.98
C010,0000160,coefficient,0.88
C010,0000056,coefficient,0.9
C010,0000297,coefficient,1.0
C010,0000014,absolute,2000
C010,0000295,absolute,4450
C010,0000347,coefficient,0.9
C010,0000193,coefficient,0.95
C010,0000204,coefficient,0.87
C011,0000231,coefficient,0.89
C011,0000125,absolute,3650
C011,0000385,coefficient,0.87
C011,0000238,coefficient,0.93
C011,0000292,coefficient,0.92
C011,0000313,absolute,1400
C011,0000343,coefficient,0.91
C011,0000195,coefficient,0.92
C011,0000173,absolute,2400
C011,0000015,coefficient,0.99
C011,0000254,coefficient,0.98
C011,0000167,absolute,2250
C011,0000094,absolute,3400
C011,0000250,coefficient,0.89
C011,0000109,coefficient,0.89
C011,0000182,coefficient,0.92
C011,0000409,coefficient,0.91
C011,0000133,coefficient,0.93
C012,0000306,coefficient,0.99
C012,0000145,coefficient,0.86
C012,0000052,coefficient,0.89
C012,0000427,coefficient,0.87
C012,0000100,coefficient,0.98
C012,0000152,absolute,1300
C012,0000117,absolute,2050
C012,0000185,coefficient,0.92
C012,0000092,coefficient,0.97
C012,0000155,coefficient,0.96
C012,0000008,absolute,3650
C012,0000363,absolute,4600
C012,0000274,coefficient,0.98
C012,0000065,coefficient,0.87
C012,0000141,absolute,3350
C012,0000024,absolute,2850
C012,0000028,coefficient,0.87
C012,0000284,coefficient,1.0
C012,0000150,coefficient,0.97
C012,0000358,absolute,1050
C012,0000327,coefficient,0.94
C012,0000386,coefficient,0.89
C012,0000252,coefficient,0.92
C012,0000053,coefficient,0.91
C012,0000007,coefficient,0.91
C012,0000294,coefficient,0.88
C013,0000332,coefficient,0.94
C013,0000077,coefficient,0.93
C013,0000137,coefficient,0.98
C013,0000424,coefficient,0.88
C013,0000073,absolute,2300
C013,0000037,coefficient,0.92
C013,0000031,absolute,2150
C013,0000085,coefficient,0.86
C013,0000406,absolute,600
C013,0000158,coefficient,0.92
C013,0000305,coefficient,1.0
C013,0000384,coefficient,0.93
C013,0000423,absolute,750
C013,0000292,absolute,1200
C013,0000148,coefficient,0.97
C013,0000225,coefficient,0.88
C013,0000064,coefficient,0.97
C014,0000004,coefficient,0.91
C014,0000013,coefficient,0.95
C014,0000014,coefficient,0.95
C014,0000016,coefficient,0.95
C014,0000017,coefficient,0.88
C014,0000023,coefficient,0.93
C014,0000024,coefficient,0.95
C014,0000036,absolute,1200
C014,0000041,absolute,800
C014,0000045,absolute,1750
C014,0000048,coefficient,0.92
C014,0000050,coefficient,0.91
C014,0000052,coefficient,0.95
C014,0000053,coefficient,0.95
C014,0000058,coefficient,0.93
C014,0000064,coefficient,0.9
C014,0000072,coefficient,0.95
C014,0000080,absolute,2450
C014,0000082,absolute,4650
C014,0000084,absolute,2150
C014,0000099,coefficient,0.88
C014,0000102,coefficient,0.91
C014,0000108,coefficient,0.92
C014,0000111,coefficient,0.91
C014,0000112,coefficient,0.88
C014,0000113,coefficient,0.9
C014,0000115,coefficient,0.93
C014,0000117,absolute,2350
C014,0000120,absolute,900
C014,0000126,absolute,3650
C014,0000136,coefficient,0.92
C014,0000141,coefficient,0.95
C014,0000143,coefficient,0.92
C014,0000149,coefficient,0.9
C014,0000151,coefficient,0.91
C014,0000173,coefficient,0.9
C014,0000175,coefficient,0.9
C014,0000177,absolute,1500
C014,0000182,absolute,2250
C014,0000184,absolute,2750
C014,0000186,coefficient,0.92
C014,0000187,coefficient,0.93
C014,0000190,coefficient,0.92
C014,0000194,coefficient,0.91
C014,0000195,coefficient,0.9
C014,0000215,coefficient,0.9
C014,0000217,coefficient,0.93
C014,0000230,absolute,8100
C014,0000233,absolute,2950
C014,0000236,absolute,950
C014,0000259,coefficient,0.9
C014,0000275,coefficient,0.95
C014,0000280,coefficient,0.9
C014,0000283,coefficient,0.95
C014,0000288,coefficient,0.92
C014,0000296,coefficient,0.93
C014,0000302,coefficient,0.88
C014,0000303,absolute,500
C014,0000309,absolute,4600
C014,0000310,absolute,7150
C014,0000317,coefficient,0.91
C014,0000322,coefficient,0.93
C014,0000326,coefficient,0.88
C014,0000328,coefficient,0.95
C014,0000333,coefficient,0.95
C014,0000339,coefficient,0.88
C014,0000344,coefficient,0.95
C014,0000347,absolute,750
C014,0000358,absolute,950
C014,0000360,absolute,3700
C014,0000361,coefficient,0.91
C014,0000367,coefficient,0.88
C014,0000373,coefficient,0.91
C014,0000374,coefficient,0.92
C014,0000378,coefficient,0.9
C014,0000380,coefficient,0.92
C014,0000385,coefficient,0.88
C014,0000389,absolute,1400
C014,0000391,absolute,2600
C014,0000398,absolute,8750
C014,0000412,coefficient,0.93
C014,0000414,coefficient,0.9
C014,0000417,coefficient,0.93
C014,0000420,coefficient,0.88
C014,0000423,coefficient,0.95
C014,0000429,coefficient,0.91
