customer_id,customer_name,buyer_code,tel,fax
C001,株式会社テストサンプルアルファ,26-1,03-0001-0001,03-0001-0002
C002,株式会社テストサンプルベータ,26-34,03-0002-0001,03-0002-0002
C003,株式会社テストサンプルガンマ,26-7,03-0003-0001,03-0003-0002
C004,株式会社テストサンプルデルタ,1-40,,03-0004-0001
C005,テストサンプルイプシロン直売所,2480,,043-0005-0001
C006,テストサンプルゼータ,20-1,,0300060001
C007,テストサンプルエータ,27-703-6,,
C008,テストサンプルシータ,,,0490080001
C009,テストサンプルイオタ(株),,,0240090001
C010,テストサンプルカッパ株式会社,21-61,03-0010-0001,03-0010-0002
C011,テストサンプルラムダ食品工場,,,0285-00-1101
C012,テストサンプルミュー,2-17,,03-0012-0001
C013,テストサンプルニュー株式会社,3-58,,03-0013-0001
C014,伊野青果,,,
