商品CD,商品名,産地,重量kg,カテゴリ(1=野菜/2=果実)
1,ブドウ,山梨,5,2
2,キョホウ,山梨,5,2
3,シャインマスカット,山梨・長野他,5,2
4,ナガノパープル,長野,5,2
5,PLUキュウリ1ホン,宮崎他,5,1
6,キュウリ 3ホンパック,高知,4.5,1
7,PLUトマト1コ,千葉他,4,1
8,アメーラトマト,静岡,3.2,1
9,トマト ハコ,千葉他,1,1
10,アメーラルビンズ,静岡,0.5,1
11,レタス 12タマ,香川,10,1
12,PLUブロッコリー,香川他,6,1
13,PLUアスパラガス,栃木・福島・佐賀,5,1
14,アスパラオオタバ,栃木,3,1
15,セロリ,静岡,4,1
16,カリフラワー,愛知他,6,1
17,サラダナ,千葉,1.2,1
18,ナス 3ボンパック,高知,12,1
19,ナス 5ホンパック,高知,12,1
20,ベイナス,高知,5,1
21,キヤベツ 1ノ2,愛知,10,1
22,PLU キャベツ L,愛知,10,1
23,ショクノサチ キャベツ,愛知,10,1
24,ハルキヤベツ,神奈川,10,1
25,PLU ピーマン,宮崎,7.5,1
26,PLUトウモロコシ 1ポン,千葉他,10,1
27,トウモロコシ L,千葉他,5,1
28,トウモロコシ ケイヤク,埼玉,10,1
29,インゲン ダイパック,高知,2,1
30,PLUピーマン 1コ,宮崎,4,1
31,エダマメ,群馬,5,1
32,ニラ,宮崎他,5,1
33,ソラマメ パック,鹿児島他,3,1
34,ソラマメMSパック,鹿児島他,3,1
35,グリンピース,鹿児島他,3,1
36,スナップエンドウ ダイパック,愛知他,2,1
37,ミョウガ,高知,2,1
38,コネギ,静岡,3,1
39,PLUオオバ,愛知,0.1,1
40,ナマタケノコ,熊本他,10,1
41,ナマフキ 2L,愛知,2.8,1
42,イトミツバ,群馬,1,1
43,ウド パック,栃木,4,1
44,オクラ コクサン,香川,2.8,1
45,PLUホウレンソウ,群馬,5,1
46,ナノハナ,千葉他,4,1
47,ダイコン カット,千葉他,10,1
48,チェリートマト パック,福島,2.1,1
49,ニンジントクヨウ,千葉,8,1
50,シンジャガイモ 1コパック,長崎,10,1
51,メキャベツ パック,静岡,1,1
52,チンゲンサイ,静岡,2,1
53,PLU ダイコン L 1ポン,千葉他,10,1
54,ナガネギ 1ホン,栃木他,5,1
55,PLUナガネギ タバ,栃木・茨城他,5,1
56,シュンギク,栃木他,2,1
57,PLUニガウリ,宮崎他,3,1
58,PLUズッキーニ,宮崎他,2,1
59,インゲン ダイパック,福島,2,1
60,PLU キーウィフルーツ 33タマ,和歌山他,3.6,2
61,アムスメロン 2L,千葉,5,2
62,アンデスメロン 3L,茨城,5,2
63,アンデスメロン,熊本,5,2
64,アンデスメロン LA,熊本,5,2
65,アンデスメロン 2Lカットヨウ,熊本,5,2
66,PLU イヨカン 2L,愛媛・佐賀,10,2
67,イヨカン パック,愛媛,10,2
68,デコポン 24タマ,愛媛他,5,2
69,デコポン 20タマ,愛媛他,5,2
70,トチオトメ 2L L,栃木他,1,2
71,トチオトメ 3L A G,栃木他,1,2
72,トチオトメ,栃木他,5,2
73,ブルーベリー コクサン,山梨,1.6,2
74,トチアイカ G A,栃木,5,2
75,PLU デラウェア L1フサ,山形,2,2
76,アールスメロン,高知・熊本,8,2
77,マスクメロン 6タマ,高知他,8,2
78,マスクメロン 2タマ,静岡他,4,2
79,アカニクメロン 2L,熊本,5,2
80,アカニクメロン LA,熊本,5,2
81,アカニクメロン 2Lカットヨウ,熊本,5,2
82,コウスイ,佐賀・熊本他,10,2
83,PLU ナシ,茨城他,1,2
84,コウスイ チュウダマ2コパック,佐賀,5,2
85,コウスイ オオダマ2コパック,佐賀,5,2
86,ホウスイナシ,茨城他,10,2
87,ニイタカナシ,福島他,10,2
88,ラ･フランス 18タマ,山形,5,2
89,ラ･フランス 20タマ,山形,5,2
90,ジロウガキ L,岐阜他,10,2
91,フユウガキ 2L,岐阜他,10,2
92,フユウガキ L,岐阜他,10,2
93,タイシュウガキ パック,山梨,5,2
94,タネナシカキ,和歌山他,7.5,2
95,タネナシガキ M,和歌山他,7.5,2
96,デラウェア Lパック,山形・山梨,3,2
97,ピオーネ パック,山梨,4,2
98,サクランボ ケショウバコ,山形,0.5,2
99,サクランボ 400Gハコ,山形,0.4,2
100,PLUサクランボ Mパック,山形,1.6,2
101,サクランボ ベニシュウホウ,山形,1.5,2
102,ビワ Mパック,長崎,1,2
103,プラム ソルダム 3Lパック,山梨,4,2
104,プラム ソルダム 2Lパック,山梨,4,2
105,プラムソルダム パック,山形・福島他,4,2
106,プラム オオイシ Lパック,山形・福島他,4,2
107,プラム タイヨウ 2Lパック,山梨・山形,4,2
108,プラム タイヨウ Lパック,山梨,4,2
109,プラム キヨウ パック,山梨,3,2
110,モモ トクダイ1コ,山梨・福島,5,2
111,PLU モモ オオダマ1コ,福島,5,2
112,モモ チュウダマ1コ,山梨,5,2
113,モモ オオダマパック,山梨,5,2
114,モモ チュウダマパック,山梨,5,2
115,モモ 1ハコ,福島,1.5,2
116,フジガキ 4L,愛媛,5,2
117,フジガキ 3L,愛媛,5,2
118,トマト ケイヤク,岐阜,4.8,1
119,スイカ L,千葉他,15,2
120,デラウェア,山形,2,2
121,デラウェア ハコ,山形,2,2
122,キョホウ パック,山梨他,2.5,2
123,キョホウ 1フサパック,山梨,3.5,2
124,キョホウパック,山梨他,3,2
125,クロコダマスイカ 5タマ,茨城他,8,2
126,ベニコダマスイカ 5タマ,新潟・青森,8,2
127,スイカ トクダイ1タマ,秋田,13,2
128,モモ ケショウバコ,山梨,1,2
129,イチタガキ ケショウバコ,長野,1,2
130,コロガキ ケショウバコ,富山,1,2
131,ツルシガキ L,山形,1,2
132,ベニツルシガキ L,山形,1,2
133,ナノハナパック コンテナ,千葉,2,1
134,ズッキーニ キイロ,宮崎,2,1
135,IM ミツカビミカン 2L3.5KG,静岡,3.5,2
136,IM ミツカビミカン L4KG,静岡,4,2
137,IM ミツカビミカン M4KG,静岡,4,2
138,トマト(ナンゴウ),福島,4,1
139,ベニコダマスイカ,茨城・新潟他,8,2
140,ベニコダマスイカ 1コ,茨城・群馬他,8,2
141,ピノガール 5タマ,茨城他,8,2
142,ニイガタルビームーン,新潟,10,2
143,タネナシピーマン,福島,3.6,1
144,アカピーマン,高知,3,1
145,スイカ M 2タマ,熊本,15,2
146,スイカ 3L ナガノ,長野,16,2
147,スイカ 2L ナガノ,長野,16,2
148,スイカ 3L トットリ,鳥取,16,2
149,スイカ L 2タマ,千葉他,15,2
150,クリームスイカ,熊本,15,2
151,クリームスイカ 1タマ,千葉,13,2
152,ミカンハコ,愛媛,5,2
153,ブリックス9トマト,群馬,3,1
154,チェリートマトゲンリョウ,茨城他,3,1
155,ハクサイ 1ノ4,茨城他,13,1
156,ハクサイ 1ノ2,茨城,13,1
157,イチゴ,栃木,5,2
158,ハクサイ カット,茨城他,13,1
159,カイジ パック,山梨,3,2
160,オレンジハクサイ,茨城,13,1
161,グリーンハウスミカン,佐賀,5,2
162,コウスイ 2L 32タマ,茨城・福島他,10,2
163,マアナミカン ハコ,愛媛,5,2
164,シャィンマスカット サンチ,長野,2.5,2
165,ニガウリ ショウ,宮崎,3,1
166,クロコダマスイカ 3タマ,熊本,6,2
167,コダマスイカ,茨城他,8,2
168,ニッコリ 8タマ,栃木,5,2
169,ハニーグローパイン クラウンレス,熊本,15,2
170,ミカン 3KGハコ,愛媛,3,2
171,シャインマスカット ケショウバコ,山梨,0.5,2
172,ミカン 5KGハコ,愛媛,5,2
173,ウワゴールド 1コ,愛媛,7.5,2
174,フジミノリ パック,山梨,4,2
175,モモ 18タマ,山梨・福島,5,2
176,マアナミカン3KG ハコ,愛媛,3,2
177,モモ ケショウバコ,福島,2,2
178,ベビーパーシモン,岐阜他,3,2
179,クロコダマスイカ 4タマ,茨城他,8,2
180,スイカ L,千葉他,14,2
181,ズッキーニ,長野,2,1
182,ニラ,宮崎,5,1
183,ウワゴールド バラ,愛媛,7.5,2
184,エダマメ,静岡,6,1
185,シュンギク,栃木・群馬他,3,1
186,ベニコダマスイカ6タマ ヤブヅカ,群馬【藪塚】,8,2
187,イチジク パック アイチ,愛知,1.4,2
188,ソラマメ サヤツキダイパック,愛媛,4,1
189,ソラマメ MSパック,鹿児島,4,1
190,PLUトマト1コ,栃木他,4,1
191,ホウスイ 3L,茨城,10,2
192,ナマフキ L,愛知,4,1
193,セロリパック,静岡,4,1
194,ミニトマトメグミ,愛知,2.1,1
195,トマトメグミ,愛知,3.6,1
196,レタス,静岡,10,1
197,トチアイカ G A,栃木,1.1,2
198,アスパラガス,佐賀他,5,1
199,アメーラトマトハコ,静岡,1,1
200,タアサイ,静岡,2,1
201,アイコダイパック,愛知,6,1
202,カラーピーマン,宮崎,5,1
203,ナガイモ バラ,青森他,10,1
204,ピーマンオオブクロ,宮崎,4,1
205,ピノガール 5タマ,茨城,8,2
206,シンジャガイモパック,静岡,8,1
207,スイカ トクダイ1タマ,秋田他,13,2
208,フキ,愛知,4,1
209,アイコミックス,愛知,3.5,1
210,メキャベツ,静岡,1,1
211,グリンピース,鹿児島,2,1
212,ソラマメ サヤツキ,鹿児島,3,1
213,ナガイモ1ホンスポット,青森,10,1
214,トマトコウロットヨウゲンタイ,千葉他,4,1
215,サクランボ Lドームパック,山形,2.4,2
216,キョホウ,山梨他,5,2
217,オオバオカイドクPC,愛知,0.6,1
218,ベニコダマスイカ 4タマ,茨城他,8,2
219,ハクサイ 1ノ4,茨城・長野他,13,1
220,コウスイ 2L,佐賀,5,2
221,デコポン24タマ,熊本・佐賀,5,2
222,マスクメロン6コイリ,静岡・熊本,8,2
223,クインシーメロン3L,熊本,5,2
224,アカニクメロン2L,熊本,5,2
225,アカニクメロンL,熊本,5,2
226,クロコタマスイカ,茨城・新潟,8,2
227,ベニコダマスイカ6タマ,茨城・新潟他,8,2
228,スイカ 2L,千葉・新潟,14,2
229,スイカL,秋田他,15,2
230,クリームスイカ2タマ,熊本,15,2
231,デラウェアLパック,大阪,1,2
232,サクランボケシヨウハコ,山形,0.6,2
233,サクランボパック,北海道,1.6,2
234,サクランボ 300Lパック,山形,1.8,2
235,ビワL パツク,長崎,1,2
236,ビワMパック,長崎,1,2
237,ビワケショウハコ,長崎,0.5,2
238,トチオトメ,栃木,5.6,2
239,ベニホッペ 3L 2L,静岡,5.6,2
240,ベニホツペG,静岡,5.6,2
241,ベニホッペ コンテナ,静岡,5.04,2
242,ベニホッペ ミニ,静岡,3.4,2
243,PLUキユウリ1ホンバラ,福島・群馬他,5,1
244,トマトハコ,千葉・熊本他,1,1
245,グリンピース パック,鹿児島,2,1
246,イチジク パック,和歌山･愛知,2,2
247,イヨカン 2L,愛媛,10,2
248,コロガキ,富山,1,2
249,ウワジマミカン 4.5kgハコ2L,愛媛,4.5,2
250,ラ フランス 16タマ,山形,5,2
251,ラ フランス 18タマ,山形,5,2
252,ラ フランス 20タマ,山形他,5,2
253,コウスイ L,佐賀,5,2
254,ミッカビアオシマミカン 2L,静岡,4.5,2
255,ミッカビミカンL,静岡,5,2
256,ミッカビアオシマミカン M,静岡,5,2
257,タネナシガキ 2L,和歌山・新潟他,7.5,2
258,タネナシガキ L,和歌山・新潟他,7.5,2
259,タネナシガキ M,和歌山,7.5,2
260,シンコウナシ 18タマ,新潟他,10,2
261,シンコウナシ 20タマ,福島他,10,2
262,ニイタカナシ 16タマ,福島他,10,2
263,ニイタカナシ 18タマ,福島他,10,2
264,ニイタカナシ 24タマ,千葉他,10,2
265,ホウスイ 2L,茨城他,10,2
266,ホウスイ 3L,茨城他,10,2
267,ホウスイ 4L,福島他,10,2
268,ベニコダマスイカ5タマ,茨城・新潟他,8,2
269,スイカ L,秋田・山形他,12,2
270,クロコタマスイカ4タマ,熊本・新潟,8,2
